iso_numeric,total_participants,total_races,country_standardized
20,0,8,Andorra
32,1380,12,Argentina
36,2818,46,Australia
40,420,6,Austria
56,750,5,Belgium
76,570,6,Brazil
100,800,8,Bulgaria
124,7000,32,Canada
148,0,1,Chad
152,390,6,Chile
156,9001,64,China
170,1030,8,Colombia
188,100,2,Costa Rica
191,1600,11,Croatia
208,1570,10,Denmark
218,30,1,Ecuador
233,0,2,Estonia
242,100,1,Fiji
246,1357,14,Finland
250,32530,56,France
276,950,15,Germany
300,1714,14,Greece
348,400,4,Hungary
352,200,1,Iceland
356,430,14,India
360,264,10,Indonesia
372,150,3,Ireland
376,400,2,Israel
380,1050,17,Italy
392,6130,26,Japan
400,20,1,Jordan
458,480,5,Malaysia
484,195,4,Mexico
512,496,5,Oman
524,126,4,Nepal
554,1352,18,New Zealand
578,1100,15,Norway
608,435,8,Philippines
616,1930,23,Poland
620,420,14,Portugal
642,50,1,Romania
702,0,1,Singapore
705,550,2,Slovenia
710,665,15,South Africa
724,5520,27,Spain
752,5064,46,Sweden
756,3650,12,Switzerland
764,1850,8,Thailand
804,680,5,Ukraine
826,11263,110,United Kingdom
840,35486,449,United States
